Period,Mean_Return,Variance,Target_Return
39,-0.0401199,0.061185,0.06
40,0.0103585,0.030947,0.06
41,0.0577929,0.0190155,0.06
42,0.118629,0.0192936,0.06
43,0.0202855,0.060543,0.06
44,-0.0125512,0.0309453,0.06
45,0.0457607,0.0326374,0.06
46,0.0478903,0.0253884,0.06
47,-0.13079,0.0611872,0.06
48,0.0124871,0.0356725,0.06
49,0.0291846,0.0722613,0.06
50,0.0467798,0.0567907,0.06

1,0.0943567,0.0270418,0.065
2,-0.0203754,0.028483,0.065
3,-0.0210992,0.0156633,0.065
4,0.0159614,0.0427165,0.065
5,0.108212,0.0442367,0.065
6,0.0908213,0.0745254,0.065
7,-0.0106145,0.043121,0.065
8,-0.00256475,0.0969601,0.065
9,-0.05516,0.0610879,0.065
10,-0.0170367,0.0524983,0.065
11,0.121031,0.111524,0.065
12,0.00527731,0.160223,0.065
13,-0.0913413,0.0601612,0.065
14,0.0672311,0.0579189,0.065
15,0.0769685,0.0680917,0.065
16,0.0269472,0.0510973,0.065
17,0.0164663,0.0947528,0.065
18,-0.0450966,0.343775,0.065
19,-0.190117,0.549078,0.065
20,-0.01352,0.255889,0.065
21,0.0895326,0.722616,0.065
22,-0.0345141,0.0973205,0.065
23,-0.149518,0.0952021,0.065
24,-0.0319771,0.0648864,0.065
25,-0.00455845,0.0608269,0.065
26,0.0145288,0.0358512,0.065
27,0.280416,4.76493,0.065
28,-0.0688664,0.0178518,0.065
29,0.0114268,0.0200374,0.065
30,-0.0691537,0.0329294,0.065
31,0.00743897,0.0784873,0.065
32,-0.112699,0.148104,0.065
33,0.10852,0.0442299,0.065
34,0.0671976,0.0716939,0.065
35,0.0717523,0.0208336,0.065
36,-0.0525528,0.0168041,0.065
37,0.0095673,0.0235184,0.065
38,0.061371,0.0563571,0.065
39,-0.0421172,0.0716569,0.065
40,0.0103264,0.0365275,0.065
41,0.0622092,0.0222041,0.065
42,0.127986,0.0228597,0.065
43,0.0225948,0.0706164,0.065
44,-0.0145025,0.0362862,0.065
45,0.0482436,0.0371262,0.065
46,0.0517651,0.0298259,0.065
47,-0.142391,0.0721478,0.065
48,0.013154,0.0417103,0.065
49,0.0326333,0.0845238,0.065
50,0.0508291,0.0658327,0.065

1,0.101632,0.0312927,0.07
2,-0.0242214,0.0286231,0.07
3,-0.0237899,0.0188047,0.07
4,0.0172334,0.0505728,0.07
5,0.118321,0.0531256,0.07
6,0.0981648,0.0898093,0.07
7,-0.0102701,0.0503153,0.07
8,-0.00482847,0.113871,0.07
9,-0.0608229,0.071835,0.07
10,-0.0187758,0.0614419,0.07
11,0.128896,0.127036,0.07
12,0.00660531,0.187304,0.07
13,-0.0993766,0.0694194,0.07
14,0.0727639,0.0665022,0.07
15,0.0826658,0.0799415,0.07
16,0.0285616,0.0596592,0.07
17,0.0171641,0.109553,0.07
18,-0.0519009,0.400343,0.07
19,-0.206078,0.652514,0.07
20,-0.0171332,0.286312,0.07
21,0.0986745,0.843459,0.07
22,-0.0379594,0.11315,0.07
23,-0.161563,0.110765,0.07
24,-0.0356944,0.0757151,0.07
25,-0.0045528,0.0697103,0.07
26,0.0155532,0.0411082,0.07
27,-0.0555657,0.0475057,0.07
28,-0.0737082,0.0206343,0.07
29,0.0122622,0.0236066,0.07
30,-0.0750677,0.0380847,0.07
31,0.00735926,0.0913809,0.07
32,-0.121179,0.171099,0.07
33,0.117597,0.051571,0.07
34,0.0731932,0.0825556,0.07
35,0.0768442,0.0235789,0.07
36,-0.056959,0.019595,0.07
37,0.0109834,0.0273308,0.07
38,0.0663341,0.0657038,0.07
39,-0.0430884,0.082955,0.07
40,0.0104363,0.0424626,0.07
41,0.0671917,0.025689,0.07
42,0.137636,0.0266424,0.07
43,0.0232547,0.0819224,0.07
44,-0.0159725,0.0423197,0.07
45,0.0534154,0.0444474,0.07
46,0.0554808,0.0346247,0.07
47,-0.153883,0.0841554,0.07
48,0.0140513,0.0481908,0.07
49,0.0339768,0.0992065,0.07
50,0.0535932,0.0761064,0.07

1,0.108835,0.0351986,0.075
2,-0.0254865,0.0353977,0.075
3,-0.02646,0.0221404,0.075
4,0.0183011,0.0587039,0.075
5,0.12607,0.0610537,0.075
6,0.106624,0.106686,0.075
7,-0.0100523,0.0577147,0.075
8,-0.00506074,0.130041,0.075
9,-0.0663961,0.0834993,0.075
10,-0.0193376,0.0707897,0.075
11,0.141784,0.153313,0.075
12,0.00742048,0.215344,0.075
13,-0.107464,0.0793376,0.075
14,0.0770671,0.075881,0.075
15,0.0889127,0.088518,0.075
16,0.0303448,0.0685648,0.075
17,0.017089,0.125525,0.075
